Current Density;Cell Voltage;Temperature;Pressure
0;1,25;35;1
0,002;1,388;35;1
0,005;1,444;35;1
0,01;1,502;35;1
0,015;1,534;35;1
0,021;1,561;35;1
0,027;1,582;35;1
0,032;1,598;35;1
0,037;1,613;35;1
0,043;1,626;35;1
0,048;1,639;35;1
0,053;1,65;35;1
0,059;1,66;35;1
0,064;1,671;35;1
0,069;1,681;35;1
0,075;1,692;35;1
0,08;1,701;35;1
0,085;1,709;35;1
0,091;1,717;35;1
0,096;1,727;35;1
0,101;1,736;35;1
0,107;1,743;35;1
0,112;1,752;35;1
0,117;1,76;35;1
0,123;1,768;35;1
0,128;1,776;35;1
0,133;1,785;35;1
0,139;1,79;35;1
0,144;1,8;35;1
0,149;1,807;35;1
0,155;1,815;35;1
0,16;1,823;35;1
0,165;1,83;35;1
0,171;1,838;35;1
0,176;1,845;35;1
0,181;1,852;35;1
0,187;1,86;35;1
0,192;1,867;35;1
0,197;1,875;35;1
0,203;1,882;35;1
0,208;1,889;35;1
0,213;1,897;35;1
0,219;1,904;35;1
0,224;1,911;35;1
0,229;1,919;35;1
0,235;1,925;35;1
0,24;1,934;35;1
0,245;1,94;35;1
0,251;1,948;35;1
0,256;1,955;35;1
0,261;1,963;35;1
0,266;1,97;35;1
