SOC;Temp;R_Ch(T=283,15);R_Ch(T=298,15);R_Ch(T=313,15);R_Ch(T=333,15);R_DCh(T=283,15);R_DCh(298,15);R_DCh(313,15);R_DCh(333,15)
0,0;283,15;0,053553148;0,037583674;0,030476853;0,030476853;0,194952789;0,061685557;0,044090174;0,044090174
0,1;298,15;0,053553148;0,037583674;0,030476853;0,030476853;0,194952789;0,061685557;0,044090174;0,044090174
0,2;313,15;0,059217307;0,041399276;0,033085519;0,033085519;0,080774939;0,050374992;0,038430102;0,038430102
0,3;333,15;0,058450526;0,041399276;0,033149145;0,033149145;0,075055233;0,048845551;0,037541588;0,037541588
0,4;;0,059280913;0,041779084;0,032640137;0,032640137;0,074809788;0,051762822;0,040018594;0,040018594
0,5;;0,062648279;0,044767041;0,035246691;0,035246691;0,069390124;0,047827935;0,038375676;0,038375676
0,6;;0,067545657;0,047695018;0,03766659;0,03766659;0,065120954;0,04426628;0,035121551;0,035121551
0,7;;0,070789375;0,049790616;0,03893911;0,03893911;0,061503438;0,041785842;0,032894641;0,032894641
0,8;;0,069199318;0,046804711;0,035566933;0,035566933;0,064822427;0,046555916;0,037723435;0,037723435
0,9;;0,080652573;0,053421621;0,039954732;0,039954732;0,061432462;0,042546505;0,033978319;0,033978319
1,0;;0,080652573;0,053421621;0,039954732;0,039954732;0,061432462;0,042546505;0,033978319;0,033978319
